sentence,issues,solutions,prompt,pred_prob,matched_src,REVISED
"True, there was a time when I should have been scared to come, because people always told me what a holy terror you were and how dangerous it was to cross you; but now I know that in reality you are all gentleness and fun, there is nothing that could stop me coming.","too long, too many pronouns",Split long sentences once. Reduce pronoun overuse.,"[INST] You are an expert English editor.
The following sentence shows signs of translationese: ""True, there was a time when I should have been scared to come, because people always told me what a holy terror you were and how dangerous it was to cross you; but now I know that in reality you are all gentleness and fun, there is nothing that could stop me coming.""
Suggested fixes: Split long sentences once. Reduce pronoun overuse.
Rules:
- Preserve the original meaning and all factual details
- Preserve names, numbers, colors, and body-part details
- Preserve negation and modality (not/never/might/would/I think, etc.)
- Keep the original style and register; maintain the original grammatical voice (active/passive), tense, aspect, and person unless ungrammatical
- Make minimal necessary edits following the suggested fixes
- Do NOT add or omit information
- Output only the revised sentence on a single line, without quotes
[/INST]",0.999999268,只因素日闻得人说，嫂子是个利害人，在你跟前一点也错不得，所以唬住我了。 我如今见嫂子是个有说有笑极疼人的，我怎么不来?,"True, there was a time when I should have been scared to come, because people always told me what a holy terror you were and how dangerous it was to cross you. Now I know that in reality you are all gentleness and fun, and nothing could stop me coming."
"After conducting an observation for a while in Qingping market, she drew the conclusion that if she wanted to disguise herself like someone, she would rather be an Ahcang woman.","too passive, words too long",Prefer active if natural. Prefer simpler common words.,"[INST] You are an expert English editor.
The following sentence shows signs of translationese: ""After conducting an observation for a while in Qingping market, she drew the conclusion that if she wanted to disguise herself like someone, she would rather be an Ahcang woman.""
Suggested fixes: Prefer active if natural. Prefer simpler common words.
Rules:
- Preserve the original meaning and all factual details
- Preserve names, numbers, colors, and body-part details
- Preserve negation and modality (not/never/might/would/I think, etc.)
- Keep the original style and register; maintain the original grammatical voice (active/passive), tense, aspect, and person unless ungrammatical
- Make minimal necessary edits following the suggested fixes
- Do NOT add or omit information
- Output only the revised sentence on a single line, without quotes
[/INST]",1,在清平集上观摩了一阵，她得到了要扮就扮阿伧的结论。,"After observing Qingping market for a while, she concluded that if she wanted to disguise herself as someone, she would rather be an Ahcang woman."
"He told me that the great thing about the job was that you could read other people's confessions, which I believe included mine.","too passive, too many connectives",Prefer active if natural. Cut redundant connectives.,"[INST] You are an expert English editor.
The following sentence shows signs of translationese: ""He told me that the great thing about the job was that you could read other people's confessions, which I believe included mine.""
Suggested fixes: Prefer active if natural. Cut redundant connectives.
Rules:
- Preserve the original meaning and all factual details
- Preserve names, numbers, colors, and body-part details
- Preserve negation and modality (not/never/might/would/I think, etc.)
- Keep the original style and register; maintain the original grammatical voice (active/passive), tense, aspect, and person unless ungrammatical
- Make minimal necessary edits following the suggested fixes
- Do NOT add or omit information
- Output only the revised sentence on a single line, without quotes
[/INST]",1,他说当人事干部最大的好处就是可以看到别人写的交待材料。 我想他说的包括了我写的交待材料。,"He told me the great thing about the job was you could read other people's confessions, which I believe included mine."
"As Chen Qingyang sat in my thatched shack and poured out her troubles, she had on a white smock that left her arms and legs exposed, the same outfit she had worn earlier in her clinic.","too passive, too much nominalization",Prefer active if natural. Turn nouns back into verbs.,"[INST] You are an expert English editor.
The following sentence shows signs of translationese: ""As Chen Qingyang sat in my thatched shack and poured out her troubles, she had on a white smock that left her arms and legs exposed, the same outfit she had worn earlier in her clinic.""
Suggested fixes: Prefer active if natural. Turn nouns back into verbs.
Rules:
- Preserve the original meaning and all factual details
- Preserve names, numbers, colors, and body-part details
- Preserve negation and modality (not/never/might/would/I think, etc.)
- Keep the original style and register; maintain the original grammatical voice (active/passive), tense, aspect, and person unless ungrammatical
- Make minimal necessary edits following the suggested fixes
- Do NOT add or omit information
- Output only the revised sentence on a single line, without quotes
[/INST]",1,陈清扬在我的草房里时，裸臂赤腿穿一件白大褂，和她在山上那间医务室里装束一样。,"As Chen Qingyang sat in my thatched shack, pouring out her troubles, she wore a white smock that left her arms and legs exposed, the same outfit she had worn earlier in her clinic."
"The four of them depended on agriculture for their living, and since, with Gou-er himself busy most of the day on the land and his wife busy about the farm drawing water, pounding grain, and the like, there was no one to look after Qing-er and her little brother, Gou-er invited his mother-in-law, old Grannie Liu, to come and live with them.","too passive, too many subordinate clauses",Prefer active if natural. Limit excessive subordination.,"[INST] You are an expert English editor.
The following sentence shows signs of translationese: ""The four of them depended on agriculture for their living, and since, with Gou-er himself busy most of the day on the land and his wife busy about the farm drawing water, pounding grain, and the like, there was no one to look after Qing-er and her little brother, Gou-er invited his mother-in-law, old Grannie Liu, to come and live with them.""
Suggested fixes: Prefer active if natural. Limit excessive subordination.
Rules:
- Preserve the original meaning and all factual details
- Preserve names, numbers, colors, and body-part details
- Preserve negation and modality (not/never/might/would/I think, etc.)
- Keep the original style and register; maintain the original grammatical voice (active/passive), tense, aspect, and person unless ungrammatical
- Make minimal necessary edits following the suggested fixes
- Do NOT add or omit information
- Output only the revised sentence on a single line, without quotes
[/INST]",1,一家四口，以务农为业。 因狗儿白日间自作些生计，刘氏又操井臼等事，青板姊弟两个无人照管，狗儿遂将岳母刘老老接来，一处过活。,"The four of them depended on agriculture for their living. Since Gou-er was busy most of the day on the land and his wife was occupied with farm work—drawing water, pounding grain, and the like—there was no one to look after Qing-er and her little brother, so Gou-er invited his mother-in-law, old Grannie Liu, to live with them."
"His visit could be accounted for in two ways: one was that he came down to our team for the investigation, but when he met someone like me who played dumb with him, he got pissed off and decided to stay; the other was that he came down to our team not for investigation, but to pick on me, after hearing that Chen Qingyang and I had a love affair.","too passive, too much nominalization",Prefer active if natural. Turn nouns back into verbs.,"[INST] You are an expert English editor.
The following sentence shows signs of translationese: ""His visit could be accounted for in two ways: one was that he came down to our team for the investigation, but when he met someone like me who played dumb with him, he got pissed off and decided to stay; the other was that he came down to our team not for investigation, but to pick on me, after hearing that Chen Qingyang and I had a love affair.""
Suggested fixes: Prefer active if natural. Turn nouns back into verbs.
Rules:
- Preserve the original meaning and all factual details
- Preserve names, numbers, colors, and body-part details
- Preserve negation and modality (not/never/might/would/I think, etc.)
- Keep the original style and register; maintain the original grammatical voice (active/passive), tense, aspect, and person unless ungrammatical
- Make minimal necessary edits following the suggested fixes
- Do NOT add or omit information
- Output only the revised sentence on a single line, without quotes
[/INST]",1,这件事有两种可能的原因，一是他下来视察，遇见了我对他装聋作哑，因而大怒，不走了。 二是他不是下来视察，而是听说陈清扬和我有了一腿，特地来找我的麻烦。,"His visit could be explained in two ways: one was that he came down to our team to investigate, but when he met someone like me who played dumb with him, he got pissed off and decided to stay; the other was that he came down to our team not to investigate, but to pick on me after hearing that Chen Qingyang and I had a love affair."
"Father watched them tumble in the moonlight, so slowly he could have reached out and caught them.","too passive, too many cohesive markers",Prefer active if natural. Keep only necessary markers.,"[INST] You are an expert English editor.
The following sentence shows signs of translationese: ""Father watched them tumble in the moonlight, so slowly he could have reached out and caught them.""
Suggested fixes: Prefer active if natural. Keep only necessary markers.
Rules:
- Preserve the original meaning and all factual details
- Preserve names, numbers, colors, and body-part details
- Preserve negation and modality (not/never/might/would/I think, etc.)
- Keep the original style and register; maintain the original grammatical voice (active/passive), tense, aspect, and person unless ungrammatical
- Make minimal necessary edits following the suggested fixes
- Do NOT add or omit information
- Output only the revised sentence on a single line, without quotes
[/INST]",0.999106033,父亲看到弹头在月光中翻着筋斗飞行，缓慢得伸手就可抓住。,"Father watched them tumble in the moonlight, so slowly he could reach out and catch them."
I was too tall to be a Thai.,"too passive, too many cohesive markers",Prefer active if natural. Keep only necessary markers.,"[INST] You are an expert English editor.
The following sentence shows signs of translationese: ""I was too tall to be a Thai.""
Suggested fixes: Prefer active if natural. Keep only necessary markers.
Rules:
- Preserve the original meaning and all factual details
- Preserve names, numbers, colors, and body-part details
- Preserve negation and modality (not/never/might/would/I think, etc.)
- Keep the original style and register; maintain the original grammatical voice (active/passive), tense, aspect, and person unless ungrammatical
- Make minimal necessary edits following the suggested fixes
- Do NOT add or omit information
- Output only the revised sentence on a single line, without quotes
[/INST]",0.99998712,我的个子太高，装不矮。,I was too tall to be Thai.
But the Little Countess closed her eyes even tighter.,"deeply nested syntax, repetition",Flatten nested clauses. Remove needless repetition.,"[INST] You are an expert English editor.
The following sentence shows signs of translationese: ""But the Little Countess closed her eyes even tighter.""
Suggested fixes: Flatten nested clauses. Remove needless repetition.
Rules:
- Preserve the original meaning and all factual details
- Preserve names, numbers, colors, and body-part details
- Preserve negation and modality (not/never/might/would/I think, etc.)
- Keep the original style and register; maintain the original grammatical voice (active/passive), tense, aspect, and person unless ungrammatical
- Make minimal necessary edits following the suggested fixes
- Do NOT add or omit information
- Output only the revised sentence on a single line, without quotes
[/INST]",0.999951249,小郡主双眼闭得更紧。,But the Little Countess squeezed her eyes shut tighter.
After that she didn't have deep relationships with other people.,"too passive, too many connectives",Prefer active if natural. Cut redundant connectives.,"[INST] You are an expert English editor.
The following sentence shows signs of translationese: ""After that she didn't have deep relationships with other people.""
Suggested fixes: Prefer active if natural. Cut redundant connectives.
Rules:
- Preserve the original meaning and all factual details
- Preserve names, numbers, colors, and body-part details
- Preserve negation and modality (not/never/might/would/I think, etc.)
- Keep the original style and register; maintain the original grammatical voice (active/passive), tense, aspect, and person unless ungrammatical
- Make minimal necessary edits following the suggested fixes
- Do NOT add or omit information
- Output only the revised sentence on a single line, without quotes
[/INST]",0.999999912,以后她就没和任何人有过交情。,After that she had no deep relationships with other people.
